번호,구분,근거,화장실명,소재지도로명주소,소재지지번주소,남성용-대변기수,남성용-소변기수,남성용-장애인용대변기수,남성용-장애인용소변기수,남성용-어린이용대변기수,남성용-어린이용소변기수,여성용-대변기수,여성용-장애인용대변기수,여성용-어린이용대변기수,관리기관명,전화번호,개방시간,개방시간상세,설치연월,WGS84위도,WGS84경도,화장실소유구분,오물처리방식,안전관리시설설치대상여부,비상벨설치여부,비상벨설치장소,화장실입구CCTV설치유무,기저귀교환대유무,기저귀교환대장소,리모델링연월,데이터기준일자
328,개방화장실,,㈜해양가스,서울특별시 광진구 자양로 77,,2,1,0,0,0,0,1,0,0,광진구 청소과,02-450-1375,,00:00~00:00,,,,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,,N,없음,N,N,없음,,2022-01-21
400,개방화장실,,중곡현대가스,서울특별시 광진구 동일로 323,,1,2,0,0,0,0,2,0,0,광진구 청소과,02-450-1375,,00:00~00:00,,,,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,,N,없음,N,N,없음,,2022-01-21
416,개방화장실,,대성 주유소,서울특별시 광진구 광나루로 570,,2,2,0,0,0,0,1,0,0,광진구 청소과,02-450-1375,,00:00~00:00,,,,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,,N,없음,N,N,없음,,2022-01-21
458,공중화장실,,가중나무공원 공중화장실,서울특별시 광진구 동일로28길 160,,2,1,0,0,0,0,2,0,0,광진구 청소과,02-450-1375,,00:00~00:00,,,,공공기관-지방자치단체,수세식,,Y,여자화장실,N,N,없음,,2022-01-21
460,공중화장실,,자양유수지 공중화장실,서울특별시 광진구 뚝섬로52길 74,,2,2,0,0,0,0,3,0,0,광진구 청소과,02-450-1375,,00:00~00:00,,,,공공기관-지방자치단체,수세식,,Y,여자화장실,N,N,없음,,2022-01-21
476,공중화장실,,토요마당,서을특별시 광진구 용마도시자연공원,서을특별시 광진구 용마도시자연공원,3,3,1,1,0,0,7,2,0,광진구 청소과,02-450-1375,,00:00~00:00,,,,공공기관-지방자치단체,수세식,,Y,장애인화장실+여자화장실,N,Y,여자화장실,,2022-01-21
477,공중화장실,,게이트볼장,서을특별시 광진구 용마도시자연공원,서을특별시 광진구 용마도시자연공원,1,2,0,0,0,0,2,0,0,광진구 청소과,02-450-1375,,00:00~00:00,,,,공공기관-지방자치단체,수세식,,Y,여자화장실,N,N,없음,,2022-01-21
478,공중화장실,,홍련봉공원,서을특별시 광진구 용마도시자연공원,서을특별시 광진구 용마도시자연공원,1,2,0,0,0,0,2,1,0,광진구 청소과,02-450-1375,,00:00~00:00,,,,공공기관-지방자치단체,수세식,,Y,장애인화장실+여자화장실,N,N,없음,,2022-01-21
479,공중화장실,법제3조제5호,긴고랑지구,서을특별시 광진구 용마도시자연공원,서을특별시 광진구 용마도시자연공원,3,3,0,0,1,0,6,2,0,광진구 공원녹지과,02-450-1395,상시,,,,,공공기관-지방자치단체,수세식,Y,Y,장애인화장실+여자화장실+남자화장실,Y,Y,여자화장실,,2023-12-31
480,공중화장실,법제3조제5호,뻥튀기공원,서을특별시 광진구 용마도시자연공원,서을특별시 광진구 용마도시자연공원,2,2,0,0,0,0,4,0,0,광진구 공원녹지과,02-450-1395,상시,,,,,공공기관-지방자치단체,수세식,Y,Y,장애인화장실+여자화장실+남자화장실,Y,N,없음,,2023-12-31
481,공중화장실,,아차산배수지,서울특별시 광진구 천호대로 731,,3,3,1,0,0,0,6,1,0,광진구시설관리공단,02-3437-7234,,00:00~00:00,,,,공공기관-지방자치단체,수세식,,Y,장애인화장실+여자화장실,N,N,없음,,2022-01-21
496,개방화장실,법제3조제16호-영제3조제1항제1호,답십리2동 주민센터,서울특별시 동대문구 힌천로11길 18,서울특별시 동대문구 답십리동 10-2,1,2,0,0,0,0,2,1,0,답십리2동 주민센터,02-2171-6242,정시,(평일)09:00-18:00+공휴일  국경일 미개방,,,,공공기관-지방자치단체,수세식,Y,N,없음,N,N,없음,,2023-12-31
574,공중화장실,법제3조제11호,동일석유㈜강남주유소 공중화장실,서울특별시 동대문구 사가정로 103(전농동),서울특별시 동대문구 전농동 295-478,1,1,0,0,0,0,1,0,0,동일석유㈜강남주유소,02-3394-5183,정시,24시간,,,,민간소유-법인,수세식,N,N,없음,N,N,없음,,2023-12-31
694,공중화장실,법제3조제16호-영제3조제1항제1호,율곡경로당,서울특별시 관악구 원신길 260,서울특별시 관악구 신림동 321-6,1,1,0,0,0,0,1,0,0,관악구청 어르신복지과,02-888-6144,정시,09:00~18:00,,,,공공기관-지방자치단체,수세식,Y,N,없음,N,N,없음,,2023-03-31
697,공중화장실,법제3조제16호-영제3조제1항제1호,삼광경로당,서울특별시 관악구 약수암길 33,서울특별시 관악구 신림동 316-95,1,0,0,0,0,0,2,0,0,관악구청 어르신복지과,02-888-6144,정시,09:00~18:00,,,,공공기관-지방자치단체,수세식,Y,N,없음,N,N,없음,,2023-03-31
725,공중화장실,법제3조제1호,난곡공원공중화장실,,서울특별시 관악구 신림동 산 108-8,0,0,1,0,0,0,0,1,2,관악구청 공원녹지과,,상시,,,,,공공기관-지방자치단체,수세식,Y,Y,장애인화장실,Y,N,없음,,2024-02-05
864,공중화장실,법제3조제5호,방학천,,서울특별시 도봉구 방학동 256-4,1,2,0,0,0,0,3,0,0,서울특별시 도봉구청,02-2091-3253,상시,상시,,,,공공기관-지방자치단체,수세식,Y,Y,여자화장실,N,N,없음,,2024-01-02
